ICAO,Full Name,Receiver callsign,Altitude max,Latitude min,Latitude max,Longitude min,Longitude max,Airfield altitude,Password,Country,APRS callsign,Comment
LFNF,Vinon,LFNF,975,43.7304,43.74654,5.77138,5.79678,275,,LF,,
LIVD,Dobbiaco,LIVD,1901,46.72403,46.7305,12.21977,12.2447,1201,,LI,,
ENEMO,Enemonzo,Enemonzo,1072,46.40186,46.4081,12.87793,12.89386,372,,LI,,
LIPF,Ferrara,LIPF,706,44.80934,44.8148,11.6048,11.6217,6,,LI,,
LIPU,Padova,LIPU|Padova,714,45.38843,45.40291,11.83741,11.85724 ,14,,LI,Padova,
LISM,San Mauro,LISM,807,46.06639,46.07018,13.36193,13.37508,107,,LI,,
LIDH,Thiene,LIDH,802,45.6678,45.68861,11.49012,11.50059 ,102,,LI,,
LIPN,Verona/Boscomantico,LIPN,791,45.46869,45.47589,10.9174,10.93874 ,91,,LI,,
LJCL,Celje,LJCL,944,46.24226,46.24876,15.21322,15.23165,244,,LJ,,
LJBL,Lesce Bled,LJBL,1204,46.35131,46.36242,14.167422,14.18112,504,,LJ,,
LJMS,Murska Sobota,LJMS,883,46.62142,46.63333,16.16275,16.18247,183,,LJ,,
LKBR,Broumov,LKBR,1100,50.55798090390373,50.56555683393788,16.33552616248122,16.34971999476808,400,,LK,,
LKDK,Dvur Kralove,LKDK,982,50.4118,50.41631,15.82833,15.84573,282,,LK,,
LKVP,Hronov,LKVP,1104,50.46612,50.46978,16.19697,16.21296 ,404,,LK,,
LKKU,Kunovice,LKKU,877,49.01825,49.03964,17.42954,17.44911 ,177,,LK,,
LKMO,Most,LFMO,1031,50.5164,50.53282,13.67608,13.69033,331,,LK,,
LKPL,Plzen-Letkov,LKPL,1119,49.72163,49.72504,13.44711,13.46043 ,419,,LK,,
LKRA,Rana,LKRA,969,50.40246,50.40946,13.73945,13.76037 ,269,,LK,,
LKSU,Sumperk,LKSU,1035,49.95551,49.96463,17.00938,17.02498,335,,LK,,
LKZM,Zamberk,LKZM,1129,50.08008,50.08735,16.43624,16.45073,429,,LK,,
LKZN,Znojmo,LKZN,952,48.81558,48.82013,16.05637,16.07446,252,,LK,,
LLBS,Be'er Sheva Teyman,LLBS,900,31.27552,31.29752,34.71036,34.7371,200,,LL,,
LOXA,Aigen Im Ennstal,LOXA,1340,47.53237,47.53919,14.13251,14.15038,640,,LO,,
LOAB,Dobersberg,LOAB,1224,48.91927,48.92457,15.28944,15.30401,524,,LO,,
LOKF,Feldkirchen-Ossiacher See,LOKF,1220,46.70312,46.71447,14.07115,14.08252,520,,LO,,
LOWG,Graz,LOWG,1400,46.96942,47.01433,15.41786,15.46284,340,,LO,,
LOAG,Krems-Langenlois,LOAG,1012,48.44331,48.44929,15.62442,15.64334 ,312,,LO,,
LOGO,Niederoblarn,LOGO,1352,47.4742,47.48487,13.999,14.0161 ,652,,LO,,
LOLK,Ried-Kirchheim,LOLK,1120,48.2092,48.21527,13.33668,13.3529 ,420,,LO,,
LOAS,Spitzerberg,LOAS,883,48.09325,48.10676,16.9268,16.94188,183,,LO,,
LSTB,Bellechasse,LSTB,1133,46.97636,46.98191,7.12456,7.14001,433,,LS,,
LSGB,Bex,LSGB,1100,46.25354,46.26314,6.98055,6.99175,400,,LS,,
LSZF,Birrfeld,LSZF,1096,47.440314,47.447025,8.22439,8.24281,396,,LS,,
LSZC,Buochs,LSZC|Rigi,1150,46.9642,46.98221,8.37645,8.415847,450,,LS,Rigi,
LSZJ,Courtelary,LSZJ,1385,47.18129,47.18572,7.08527,7.09594,685,,LS,,
LSZN,Hausen Am Albis,LSZN|Heisch,1288,47.23689,47.24043,8.50887,8.52246 ,588,,LS,Heisch,
LSZO,Luzern-Beromunster,LSZO,1354,47.18296,47.19415,8.19432,8.2138,654,,LS,,
LSMF,Mollis,LSMF,1153,47.06714,47.08979,9.05776,9.07188,453,,LS,,
LSTR,Montricher,LSTR,1364,46.5865,46.59423,6.3969,6.40517,664,,LS,,
LSPU,Muenster Goms,LSPU,2028,46.47615,46.48436,8.25469,8.26984,1328,,LS,,
LZNI,Nitra,LZNI,835,48.27188,48.28692,18.12162,18.14258 ,135,,LS,,
LZPT,Partizanske,LZPT,883,48.61460,48.62589,18.31449,18.34140,183,,LS,,
LZPE,Prievidza,LZPE,960,48.75943,48.77225,18.57778,18.59604 ,260,,LS,,
LSPF,Schaffhausen,LSPF,1163,47.68843,47.69239,8.52205,8.53181,463,,LS,,
LSGY,Yverdon-les-Bains,LSGY,1133,46.75775,46.76644,6.60604,6.61939,433,,LS,,
NZOA,Omarama,NZOA|Omarama,1115,-44.49279,-44.47863,169.96722,170.00432 ,415,,NZ,Omarama,
CORDO,Cordoba Juarez Celman,Cordoba,1208,-31.22028,-31.20189,-64.16393,-64.15777 ,508,,SA,,
SCLC,Municipal de Vitacura,SCLC|PoloCL,1386,-33.38209,-33.37841,-70.58694,-70.57349,686,,SC,,
YBSS,Bacchus Marsh,YBSS,858,-37.74409,-37.72142,144.40977,144.44024,158,,YB,,Australie
YBLA,Benalla,YBLA,873,-36.56083,-36.54384,145.99629,146.02635,173,,YB,,Australie
YKEP,Lake Keepit,YKEP,1051,-30.89977,-30.88145,150.51831,150.53365 ,351,,YK,,Australie
YMBT,Mont Beauty,YMBT|Tawonga,1035,-36.73888,-36.71867,147.158,147.17764,335,,YM,YMBT,Australie
YSCN,Camden,YSCN,767,-34.04871,-34.03316,150.67673,150.69763,67,,YS,,Australie
